experiment,scenario,run,psc,min_ttc,min_distance,detection_latency,vlm_latency,continue_count,slow_down_count,yield_count,scenario_duration
mistral,frontal_approach,1,30.67,0.000,-0.250,0.952,5.798,0,6,5,116.68
mistral,intersection,1,79.67,10.515,0.971,0.395,4.335,0,6,0,103.12
mistral,doorway,1,34.24,0.000,-0.211,0.261,3.583,0,3,15,200.72
mistral,frontal_approach,2,70.48,0.188,0.087,0.555,3.882,0,2,4,78.14
mistral,intersection,2,84.20,10.729,1.129,0.346,3.652,0,6,0,42.48
mistral,doorway,2,37.27,0.000,-0.204,0.251,4.195,0,3,10,181.25
mistral,frontal_approach,3,65.62,0.000,-0.019,0.606,3.825,0,4,3,80.86
mistral,intersection,3,85.31,10.631,0.986,0.279,3.917,0,5,1,46.98
mistral,doorway,3,83.70,0.000,-0.183,0.876,3.983,0,2,4,138.67
mistral,frontal_approach,4,35.68,0.000,-0.250,0.332,3.500,0,4,8,132.96
mistral,intersection,4,75.79,10.521,0.930,0.301,4.318,0,4,0,23.53
mistral,frontal_approach,1,80.02,16.168,0.309,0.797,4.310,0,5,1,75.87
mistral,intersection,1,96.17,11.810,0.978,0.241,3.062,1,7,1,253.60
mistral,doorway,1,8.89,0.000,-0.179,0.314,5.494,0,4,17,236.35
mistral,frontal_approach,2,82.53,15.123,0.846,0.329,3.026,1,3,1,68.73
mistral,intersection,2,96.82,10.617,1.088,0.370,3.317,0,9,1,203.80
mistral,doorway,2,37.45,0.000,-0.209,0.586,3.155,0,4,11,183.77
mistral,frontal_approach,3,32.85,0.000,-0.250,0.345,3.532,0,6,6,138.53
mistral,intersection,3,96.08,10.487,0.863,0.283,3.404,0,6,3,269.85
mistral,doorway,3,36.01,0.000,-0.211,0.263,3.355,0,2,11,175.12
mistral,frontal_approach,4,44.97,0.000,-0.215,0.298,3.139,0,2,7,107.78
mistral,intersection,4,94.50,14.136,1.057,0.180,4.547,0,7,1,282.43
mistral,doorway,4,87.01,0.000,-0.176,0.352,3.140,0,3,4,200.48
mistral,frontal_approach,5,56.46,0.000,-0.247,0.253,3.340,0,5,6,120.77
mistral,intersection,5,100.00,18.262,1.650,0.232,3.615,0,4,2,78.46
mistral,doorway,5,46.70,0.000,-0.171,0.724,3.850,0,5,10,172.33
mistral,frontal_approach,6,42.79,0.000,-0.250,0.350,3.087,0,3,6,122.38
mistral,intersection,6,94.96,9.998,0.947,0.193,4.085,0,9,2,134.02
mistral,doorway,6,73.67,0.000,-0.211,0.770,3.580,0,4,6,174.37
mistral,frontal_approach,7,22.44,0.000,-0.250,0.413,3.377,0,2,10,123.95
mistral,intersection,7,86.25,10.419,0.832,0.157,6.937,0,3,3,91.47
mistral,doorway,7,71.16,0.000,-0.112,1.569,3.599,1,2,2,124.88
mistral,frontal_approach,8,74.20,0.262,0.077,0.780,4.707,0,3,3,85.61
mistral,intersection,8,97.26,21.078,1.077,0.206,3.085,1,5,0,223.76
mistral,doorway,8,56.81,0.000,-0.123,0.407,3.391,0,4,7,145.16
mistral,frontal_approach,9,52.58,0.295,0.073,0.498,4.782,0,2,1,26.16
mistral,frontal_approach,1,25.55,0.000,-0.250,0.810,3.946,0,6,6,140.93
mistral,intersection,1,83.56,45.423,1.006,0.730,3.779,0,6,0,78.12
mistral,doorway,1,86.53,0.000,-0.123,0.396,4.025,0,5,2,273.97
mistral,frontal_approach,2,26.50,0.000,-0.250,0.506,8.310,0,2,4,48.22
mistral,frontal_approach,1,36.22,0.000,-0.250,0.790,4.717,0,3,8,134.51
mistral,intersection,1,97.80,21.232,1.100,0.268,3.981,0,8,2,161.95
mistral,doorway,1,16.09,0.000,-0.208,0.747,3.910,0,2,10,123.73
mistral,frontal_approach,2,42.03,0.000,-0.246,1.434,4.249,0,3,6,120.67
mistral,frontal_approach,1,87.60,19.056,0.687,0.870,17.478,1,1,2,79.04
mistral,intersection,1,97.97,14.492,1.161,0.429,3.689,0,6,2,226.16
mistral,doorway,1,86.13,0.000,-0.080,0.370,4.125,0,4,3,169.16
mistral,frontal_approach,2,27.04,0.000,-0.250,0.623,3.907,0,3,4,64.74
mistral,frontal_approach,1,24.92,0.000,-0.250,0.753,3.601,0,5,13,153.89
mistral,intersection,1,95.41,10.502,1.189,0.360,3.937,1,7,2,172.28
mistral,doorway,1,15.07,0.000,-0.191,0.394,4.216,0,3,15,186.50
mistral,frontal_approach,2,49.45,0.000,-0.170,0.703,8.016,0,1,2,27.95
mistral,frontal_approach,1,72.41,0.000,-0.050,1.516,3.997,1,4,2,85.73
mistral,intersection,1,98.04,10.493,1.161,0.503,3.867,0,9,1,178.23
mistral,doorway,1,17.81,0.000,-0.177,0.297,3.608,0,4,12,156.32
mistral,frontal_approach,2,23.99,0.000,-0.250,0.851,3.516,0,3,9,122.12
notrack,frontal_approach,1,74.01,13.995,0.098,N/A,N/A,0,0,0,46.77
notrack,intersection,1,94.17,14.743,0.212,N/A,N/A,0,0,0,254.89
notrack,doorway,1,65.89,0.000,-0.158,N/A,N/A,0,0,0,166.32
notrack,frontal_approach,2,73.01,2.438,0.134,N/A,N/A,0,0,0,48.34
notrack,intersection,2,64.52,10.826,0.307,N/A,N/A,0,0,0,30.32
notrack,doorway,2,40.13,0.000,-0.209,N/A,N/A,0,0,0,363.10
notrack,intersection,3,72.48,15.496,0.204,N/A,N/A,0,0,0,71.91
notrack,doorway,3,40.22,0.000,-0.162,N/A,N/A,0,0,0,148.42
notrack,frontal_approach,3,67.44,3.044,0.190,N/A,N/A,0,0,0,17.51
notrack,frontal_approach,1,73.82,14.186,0.089,N/A,N/A,0,0,0,52.35
notrack,intersection,1,92.85,15.486,0.235,N/A,N/A,0,0,0,278.82
notrack,doorway,1,47.43,0.000,-0.137,N/A,N/A,0,0,0,304.98
notrack,frontal_approach,2,74.98,5.276,0.475,N/A,N/A,0,0,0,51.46
notrack,intersection,2,47.89,0.000,-0.100,N/A,N/A,0,0,0,104.42
notrack,doorway,2,15.22,0.000,-0.142,N/A,N/A,0,0,0,89.42
notrack,frontal_approach,3,74.61,5.218,0.466,N/A,N/A,0,0,0,55.58
notrack,intersection,3,100.00,9.169,1.275,N/A,N/A,0,0,0,107.43
notrack,doorway,3,38.28,0.000,-0.120,N/A,N/A,0,0,0,295.66
notrack,frontal_approach,4,75.97,4.464,0.353,N/A,N/A,0,0,0,58.31
notrack,intersection,4,51.43,0.000,-0.089,N/A,N/A,0,0,0,133.68
notrack,doorway,4,15.03,0.000,-0.111,N/A,N/A,0,0,0,235.75
notrack,frontal_approach,5,100.00,inf,3.714,N/A,N/A,0,0,0,23.74
notrack,intersection,5,85.85,inf,1.081,N/A,N/A,0,0,0,28.49
notrack,doorway,5,76.18,0.000,-0.092,N/A,N/A,0,0,0,434.46
notrack,frontal_approach,6,100.00,inf,5.133,N/A,N/A,0,0,0,19.52
notrack,intersection,6,0.00,inf,0.630,N/A,N/A,0,0,0,30.38
notrack,doorway,6,77.21,0.616,0.285,N/A,N/A,0,0,0,380.88
notrack,intersection,7,17.55,0.000,-0.196,N/A,N/A,0,0,0,394.09
notrack,intersection,8,31.67,75.428,0.062,N/A,N/A,0,0,0,451.75
notrack,intersection,9,47.91,0.770,0.382,N/A,N/A,0,0,0,99.90
notrack,intersection,10,21.34,16.635,0.339,N/A,N/A,0,0,0,196.29
notrack,frontal_approach,1,73.22,14.718,0.068,N/A,N/A,0,0,0,52.71
notrack,intersection,1,71.19,10.451,0.214,N/A,N/A,0,0,0,81.50
notrack,doorway,1,77.32,0.000,-0.133,N/A,N/A,0,0,0,395.73
notrack,intersection,2,48.51,inf,0.287,N/A,N/A,0,0,0,14.01
notrack,frontal_approach,1,73.69,14.441,0.073,N/A,N/A,0,0,0,49.82
